Teacher Quality,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Teachers,Number of Inexperienced Teachers,Percent of Out-of-Field Teachers,Number of Out-of-Field Teachers,Percent of Out-of-Field and Inexperienced Teachers,Number of Out-of-Field and Inexperienced Teachers
2023 - 2024,SCH,Augusta County Public Schools,Buffalo Gap High,Medium Poverty,All Schools,2.2,1,0,0,0,0
2023 - 2024,SCH,Augusta County Public Schools,Buffalo Gap High,Medium Poverty,Non-Title I,2.2,1,0,0,0,0
2023 - 2024,SCH,Augusta County Public Schools,Cassell Elementary,Medium Poverty,All Schools,4.3,2,6.5,3,2.2,1
2023 - 2024,SCH,Augusta County Public Schools,Cassell Elementary,Medium Poverty,Title I,4.3,2,6.5,3,2.2,1
2023 - 2024,SCH,Augusta County Public Schools,Churchville Elementary,Medium Poverty,All Schools,3,1,6.1,2,3,1
2023 - 2024,SCH,Augusta County Public Schools,Churchville Elementary,Medium Poverty,Title I,3,1,6.1,2,3,1
2023 - 2024,SCH,Augusta County Public Schools,Craigsville Elementary,Medium Poverty,All Schools,5.3,1,5.3,1,0,0
2023 - 2024,SCH,Augusta County Public Schools,Craigsville Elementary,Medium Poverty,Title I,5.3,1,5.3,1,0,0
2023 - 2024,SCH,Augusta County Public Schools,Edward G. Clymore Elementary,Medium Poverty,All Schools,4.1,2,2,1,2,1
2023 - 2024,SCH,Augusta County Public Schools,Edward G. Clymore Elementary,Medium Poverty,Title I,4.1,2,2,1,2,1
2023 - 2024,SCH,Augusta County Public Schools,Fort Defiance High,Medium Poverty,All Schools,0,0,3.2,2,0,0
2023 - 2024,SCH,Augusta County Public Schools,Fort Defiance High,Medium Poverty,Non-Title I,0,0,3.2,2,0,0
2023 - 2024,SCH,Augusta County Public Schools,Guy K. Stump Elementary,Medium Poverty,All Schools,5.9,2,5.9,2,2.9,1
2023 - 2024,SCH,Augusta County Public Schools,Guy K. Stump Elementary,Medium Poverty,Title I,5.9,2,5.9,2,2.9,1
2023 - 2024,SCH,Augusta County Public Schools,North River Elementary,Medium Poverty,All Schools,4.5,1,0,0,0,0
2023 - 2024,SCH,Augusta County Public Schools,North River Elementary,Medium Poverty,Title I,4.5,1,0,0,0,0
2023 - 2024,SCH,Augusta County Public Schools,Riverheads Elementary,Medium Poverty,All Schools,6.1,3,2,1,0,0
2023 - 2024,SCH,Augusta County Public Schools,Riverheads Elementary,Medium Poverty,Title I,6.1,3,2,1,0,0
2023 - 2024,SCH,Augusta County Public Schools,Riverheads High,Medium Poverty,All Schools,2.4,1,7.1,3,0,0
2023 - 2024,SCH,Augusta County Public Schools,Riverheads High,Medium Poverty,Non-Title I,2.4,1,7.1,3,0,0
2023 - 2024,SCH,Augusta County Public Schools,S. Gordon Stewart Middle,Medium Poverty,All Schools,0,0,2.2,1,0,0
2023 - 2024,SCH,Augusta County Public Schools,S. Gordon Stewart Middle,Medium Poverty,Non-Title I,0,0,2.2,1,0,0
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft Elementary,Medium Poverty,All Schools,5.3,2,2.6,1,0,0
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft Elementary,Medium Poverty,Title I,5.3,2,2.6,1,0,0
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft High,Medium Poverty,All Schools,0,0,8.5,5,0,0
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft High,Medium Poverty,Non-Title I,0,0,8.5,5,0,0
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft Middle,Medium Poverty,All Schools,9.1,4,9.1,4,4.5,2
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft Middle,Medium Poverty,Non-Title I,9.1,4,9.1,4,4.5,2
2023 - 2024,SCH,Augusta County Public Schools,Wilson Elementary,Medium Poverty,All Schools,2.3,1,0,0,0,0
2023 - 2024,SCH,Augusta County Public Schools,Wilson Elementary,Medium Poverty,Title I,2.3,1,0,0,0,0
2023 - 2024,SCH,Augusta County Public Schools,Wilson Memorial High,Medium Poverty,All Schools,6,4,7.5,5,3,2
2023 - 2024,SCH,Augusta County Public Schools,Wilson Memorial High,Medium Poverty,Non-Title I,6,4,7.5,5,3,2
2023 - 2024,SCH,Augusta County Public Schools,Wilson Middle,Medium Poverty,All Schools,6.9,4,6.9,4,1.7,1
2023 - 2024,SCH,Augusta County Public Schools,Wilson Middle,Medium Poverty,Non-Title I,6.9,4,6.9,4,1.7,1
2023 - 2024,SCH,Bath County Public Schools,Bath County High,Medium Poverty,All Schools,0,0,7.4,2,0,0
2023 - 2024,SCH,Bath County Public Schools,Bath County High,Medium Poverty,Non-Title I,0,0,7.4,2,0,0
2023 - 2024,SCH,Bath County Public Schools,Millboro Elementary,High Poverty,All Schools,11.8,2,29.4,5,5.9,1
2023 - 2024,SCH,Bath County Public Schools,Millboro Elementary,High Poverty,Title I,11.8,2,29.4,5,5.9,1
2023 - 2024,SCH,Bath County Public Schools,Valley Elementary,High Poverty,All Schools,5.3,1,10.5,2,0,0
2023 - 2024,SCH,Bath County Public Schools,Valley Elementary,High Poverty,Title I,5.3,1,10.5,2,0,0
2023 - 2024,SCH,Bedford County Public Schools,Bedford Elementary,Medium Poverty,All Schools,11.1,4,11.1,4,0,0
2023 - 2024,SCH,Bedford County Public Schools,Bedford Elementary,Medium Poverty,Title I,11.1,4,11.1,4,0,0
2023 - 2024,SCH,Bedford County Public Schools,Bedford Primary,High Poverty,All Schools,11.1,3,7.4,2,0,0
2023 - 2024,SCH,Bedford County Public Schools,Bedford Primary,High Poverty,Title I,11.1,3,7.4,2,0,0
2023 - 2024,SCH,Bedford County Public Schools,Big Island Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Bedford County Public Schools,Big Island Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Bedford County Public Schools,Boonsboro Elementary,Low Poverty,All Schools,19.2,5,3.8,1,0,0
2023 - 2024,SCH,Bedford County Public Schools,Boonsboro Elementary,Low Poverty,Non-Title I,19.2,5,3.8,1,0,0
2023 - 2024,SCH,Bedford County Public Schools,Forest Elementary,Low Poverty,All Schools,19,4,4.8,1,0,0
2023 - 2024,SCH,Bedford County Public Schools,Forest Elementary,Low Poverty,Non-Title I,19,4,4.8,1,0,0
2023 - 2024,SCH,Bedford County Public Schools,Forest Middle,Low Poverty,All Schools,6.1,4,10.6,7,0,0
2023 - 2024,SCH,Bedford County Public Schools,Forest Middle,Low Poverty,Non-Title I,6.1,4,10.6,7,0,0
2023 - 2024,SCH,Bedford County Public Schools,Goodview Elementary,Medium Poverty,All Schools,15,6,10,4,0,0
2023 - 2024,SCH,Bedford County Public Schools,Goodview Elementary,Medium Poverty,Title I,15,6,10,4,0,0
2023 - 2024,SCH,Bedford County Public Schools,Huddleston Elementary,Medium Poverty,All Schools,9.5,2,0,0,0,0
2023 - 2024,SCH,Bedford County Public Schools,Huddleston Elementary,Medium Poverty,Title I,9.5,2,0,0,0,0
2023 - 2024,SCH,Bedford County Public Schools,Jefferson Forest High,Low Poverty,All Schools,6.2,5,4.9,4,0,0
2023 - 2024,SCH,Bedford County Public Schools,Jefferson Forest High,Low Poverty,Non-Title I,6.2,5,4.9,4,0,0
2023 - 2024,SCH,Bedford County Public Schools,Liberty High,Medium Poverty,All Schools,22.4,13,5.2,3,3.4,2
2023 - 2024,SCH,Bedford County Public Schools,Liberty High,Medium Poverty,Non-Title I,22.4,13,5.2,3,3.4,2
2023 - 2024,SCH,Bedford County Public Schools,Liberty Middle,Medium Poverty,All Schools,16.3,7,11.6,5,2.3,1
2023 - 2024,SCH,Bedford County Public Schools,Liberty Middle,Medium Poverty,Non-Title I,16.3,7,11.6,5,2.3,1
2023 - 2024,SCH,Bedford County Public Schools,Moneta Elementary,Medium Poverty,All Schools,0,0,5,1,0,0
2023 - 2024,SCH,Bedford County Public Schools,Moneta Elementary,Medium Poverty,Title I,0,0,5,1,0,0
2023 - 2024,SCH,Bedford County Public Schools,Montvale Elementary,Medium Poverty,All Schools,10.5,2,0,0,0,0
2023 - 2024,SCH,Bedford County Public Schools,Montvale Elementary,Medium Poverty,Title I,10.5,2,0,0,0,0
2023 - 2024,SCH,Bedford County Public Schools,New London Academy Elementary,Low Poverty,All Schools,19.2,5,0,0,0,0
2023 - 2024,SCH,Bedford County Public Schools,New London Academy Elementary,Low Poverty,Non-Title I,19.2,5,0,0,0,0
2023 - 2024,SCH,Bedford County Public Schools,Otter River Elementary,Medium Poverty,All Schools,7.1,1,0,0,0,0
2023 - 2024,SCH,Bedford County Public Schools,Otter River Elementary,Medium Poverty,Non-Title I,7.1,1,0,0,0,0
2023 - 2024,SCH,Bedford County Public Schools,Staunton River High,Medium Poverty,All Schools,14.8,9,14.8,9,1.6,1
2023 - 2024,SCH,Bedford County Public Schools,Staunton River High,Medium Poverty,Non-Title I,14.8,9,14.8,9,1.6,1
2023 - 2024,SCH,Bedford County Public Schools,Staunton River Middle,Medium Poverty,All Schools,12,6,14,7,0,0
2023 - 2024,SCH,Bedford County Public Schools,Staunton River Middle,Medium Poverty,Non-Title I,12,6,14,7,0,0
2023 - 2024,SCH,Bedford County Public Schools,Stewartsville Elementary,Medium Poverty,All Schools,17.9,5,14.3,4,3.6,1
2023 - 2024,SCH,Bedford County Public Schools,Stewartsville Elementary,Medium Poverty,Title I,17.9,5,14.3,4,3.6,1
2023 - 2024,SCH,Bedford County Public Schools,Thomas Jefferson Elementary,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Bedford County Public Schools,Thomas Jefferson Elementary,Low Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Bland County Public Schools,Bland County Elementary ,Medium Poverty,All Schools,8.8,3,8.8,3,2.9,1
2023 - 2024,SCH,Bland County Public Schools,Bland County Elementary ,Medium Poverty,Title I,8.8,3,8.8,3,2.9,1
2023 - 2024,SCH,Bland County Public Schools,Bland County High,Medium Poverty,All Schools,4.7,3,20.3,13,1.6,1
2023 - 2024,SCH,Bland County Public Schools,Bland County High,Medium Poverty,Non-Title I,4.7,3,20.3,13,1.6,1
2023 - 2024,SCH,Botetourt County Public Schools,Breckinridge Elementary,Low Poverty,All Schools,0,0,4.2,1,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Breckinridge Elementary,Low Poverty,Non-Title I,0,0,4.2,1,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Buchanan Elementary,Medium Poverty,All Schools,0,0,3.3,1,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Buchanan Elementary,Medium Poverty,Title I,0,0,3.3,1,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Central Academy Middle,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Central Academy Middle,Medium Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Cloverdale Elementary,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Cloverdale Elementary,Low Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Colonial Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Colonial Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Eagle Rock Elementary,Medium Poverty,All Schools,0,0,5.9,1,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Eagle Rock Elementary,Medium Poverty,Title I,0,0,5.9,1,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Greenfield Elementary,Low Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Greenfield Elementary,Low Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Botetourt County Public Schools,James River High,Low Poverty,All Schools,0,0,4.4,2,0,0
2023 - 2024,SCH,Botetourt County Public Schools,James River High,Low Poverty,Non-Title I,0,0,4.4,2,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Lord Botetourt High,Low Poverty,All Schools,0,0,2.6,2,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Lord Botetourt High,Low Poverty,Non-Title I,0,0,2.6,2,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Read Mountain Middle,Low Poverty,All Schools,1.7,1,1.7,1,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Read Mountain Middle,Low Poverty,Non-Title I,1.7,1,1.7,1,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Troutville Elementary,Medium Poverty,All Schools,0,0,3.8,1,0,0
2023 - 2024,SCH,Botetourt County Public Schools,Troutville Elementary,Medium Poverty,Non-Title I,0,0,3.8,1,0,0
2023 - 2024,SCH,Bristol City Public Schools,Virginia High,High Poverty,All Schools,0,0,9.5,9,0,0
2023 - 2024,SCH,Bristol City Public Schools,Virginia High,High Poverty,Non-Title I,0,0,9.5,9,0,0
2023 - 2024,SCH,Bristol City Public Schools,Virginia Middle,High Poverty,All Schools,0,0,10.3,8,0,0
2023 - 2024,SCH,Bristol City Public Schools,Virginia Middle,High Poverty,Non-Title I,0,0,10.3,8,0,0
2023 - 2024,SCH,Brunswick County Public Schools,Brunswick High,High Poverty,All Schools,7.7,3,17.9,7,0,0
2023 - 2024,SCH,Brunswick County Public Schools,Brunswick High,High Poverty,Title I,7.7,3,17.9,7,0,0
2023 - 2024,SCH,Brunswick County Public Schools,James S. Russell Middle,High Poverty,All Schools,3.3,1,16.7,5,0,0
2023 - 2024,SCH,Brunswick County Public Schools,James S. Russell Middle,High Poverty,Title I,3.3,1,16.7,5,0,0
2023 - 2024,SCH,Brunswick County Public Schools,Meherrin Powellton Elementary,High Poverty,All Schools,0,0,29.4,5,0,0
2023 - 2024,SCH,Brunswick County Public Schools,Meherrin Powellton Elementary,High Poverty,Title I,0,0,29.4,5,0,0
2023 - 2024,SCH,Brunswick County Public Schools,Red Oak-Sturgeon Elementary,High Poverty,All Schools,0,0,8.3,1,0,0
2023 - 2024,SCH,Brunswick County Public Schools,Red Oak-Sturgeon Elementary,High Poverty,Title I,0,0,8.3,1,0,0
2023 - 2024,SCH,Brunswick County Public Schools,Totaro Elementary,High Poverty,All Schools,19,4,42.9,9,14.3,3
2023 - 2024,SCH,Brunswick County Public Schools,Totaro Elementary,High Poverty,Title I,19,4,42.9,9,14.3,3
2023 - 2024,SCH,Buchanan County Public Schools,Council Elementary/Middle,High Poverty,All Schools,6.1,2,0,0,0,0
2023 - 2024,SCH,Buchanan County Public Schools,Council Elementary/Middle,High Poverty,Title I,6.1,2,0,0,0,0
2023 - 2024,SCH,Buchanan County Public Schools,Council High ,High Poverty,All Schools,4,1,4,1,0,0
2023 - 2024,SCH,Buchanan County Public Schools,Council High ,High Poverty,Non-Title I,4,1,4,1,0,0
2023 - 2024,SCH,Buchanan County Public Schools,Grundy High,High Poverty,All Schools,4.5,1,4.5,1,0,0
2023 - 2024,SCH,Buchanan County Public Schools,Grundy High,High Poverty,Non-Title I,4.5,1,4.5,1,0,0
2023 - 2024,SCH,Buchanan County Public Schools,Hurley Elementary/Middle,High Poverty,All Schools,7.9,3,5.3,2,2.6,1
2023 - 2024,SCH,Buchanan County Public Schools,Hurley Elementary/Middle,High Poverty,Title I,7.9,3,5.3,2,2.6,1
2023 - 2024,SCH,Buchanan County Public Schools,Hurley High,High Poverty,All Schools,12.5,2,0,0,0,0
2023 - 2024,SCH,Buchanan County Public Schools,Hurley High,High Poverty,Non-Title I,12.5,2,0,0,0,0
2023 - 2024,SCH,Buchanan County Public Schools,Riverview Elementary/Middle,High Poverty,All Schools,0,0,1.4,1,0,0
2023 - 2024,SCH,Buchanan County Public Schools,Riverview Elementary/Middle,High Poverty,Title I,0,0,1.4,1,0,0
2023 - 2024,SCH,Buchanan County Public Schools,Twin Valley Elementary/Middle,High Poverty,All Schools,3.8,1,15.4,4,3.8,1
2023 - 2024,SCH,Buchanan County Public Schools,Twin Valley Elementary/Middle,High Poverty,Title I,3.8,1,15.4,4,3.8,1
2023 - 2024,SCH,Buchanan County Public Schools,Twin Valley High,High Poverty,All Schools,13.8,4,3.4,1,3.4,1
2023 - 2024,SCH,Buchanan County Public Schools,Twin Valley High,High Poverty,Non-Title I,13.8,4,3.4,1,3.4,1
2023 - 2024,SCH,Buckingham County Public Schools,Buckingham Co Elementary,High Poverty,All Schools,3.7,1,11.1,3,0,0
2023 - 2024,SCH,Buckingham County Public Schools,Buckingham Co Elementary,High Poverty,Title I,3.7,1,11.1,3,0,0
2023 - 2024,SCH,Buckingham County Public Schools,Buckingham Co Primary,High Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Buckingham County Public Schools,Buckingham Co Primary,High Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Buckingham County Public Schools,Buckingham County High,High Poverty,All Schools,0,0,4.3,2,0,0
2023 - 2024,SCH,Buckingham County Public Schools,Buckingham County High,High Poverty,Non-Title I,0,0,4.3,2,0,0
2023 - 2024,SCH,Buckingham County Public Schools,Buckingham County Middle,High Poverty,All Schools,2.8,1,16.7,6,2.8,1
2023 - 2024,SCH,Buckingham County Public Schools,Buckingham County Middle,High Poverty,Non-Title I,2.8,1,16.7,6,2.8,1
2023 - 2024,SCH,Buena Vista City Public Schools,Enderly Heights Elementary,Medium Poverty,All Schools,11.1,2,27.8,5,0,0
2023 - 2024,SCH,Buena Vista City Public Schools,Enderly Heights Elementary,Medium Poverty,Title I,11.1,2,27.8,5,0,0
2023 - 2024,SCH,Buena Vista City Public Schools,F.W. Kling Jr. Elementary,Medium Poverty,All Schools,0,0,8.3,1,0,0
2023 - 2024,SCH,Buena Vista City Public Schools,F.W. Kling Jr. Elementary,Medium Poverty,Title I,0,0,8.3,1,0,0
2023 - 2024,SCH,Buena Vista City Public Schools,Parry McCluer High,Medium Poverty,All Schools,3.6,1,3.6,1,3.6,1
2023 - 2024,SCH,Buena Vista City Public Schools,Parry McCluer High,Medium Poverty,Non-Title I,3.6,1,3.6,1,3.6,1
2023 - 2024,SCH,Buena Vista City Public Schools,Parry McCluer Middle,Medium Poverty,All Schools,21.4,3,14.3,2,7.1,1
2023 - 2024,SCH,Buena Vista City Public Schools,Parry McCluer Middle,Medium Poverty,Non-Title I,21.4,3,14.3,2,7.1,1
2023 - 2024,SCH,Campbell County Public Schools,Altavista Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Campbell County Public Schools,Altavista Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Campbell County Public Schools,Altavista High,Medium Poverty,All Schools,2,1,2,1,0,0
2023 - 2024,SCH,Campbell County Public Schools,Altavista High,Medium Poverty,Non-Title I,2,1,2,1,0,0
2023 - 2024,SCH,Campbell County Public Schools,Brookneal Elementary,Medium Poverty,All Schools,3.8,1,0,0,0,0
2023 - 2024,SCH,Campbell County Public Schools,Brookneal Elementary,Medium Poverty,Title I,3.8,1,0,0,0,0
2023 - 2024,SCH,Campbell County Public Schools,Brookville High,Medium Poverty,All Schools,3.2,2,6.3,4,0,0
2023 - 2024,SCH,Campbell County Public Schools,Brookville High,Medium Poverty,Non-Title I,3.2,2,6.3,4,0,0
2023 - 2024,SCH,Campbell County Public Schools,Brookville Middle,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Campbell County Public Schools,Brookville Middle,Medium Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Campbell County Public Schools,Concord Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Campbell County Public Schools,Concord Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Campbell County Public Schools,Leesville Road Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Campbell County Public Schools,Leesville Road Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Campbell County Public Schools,Rustburg Elementary,Medium Poverty,All Schools,0,0,3.6,1,0,0
2023 - 2024,SCH,Campbell County Public Schools,Rustburg Elementary,Medium Poverty,Title I,0,0,3.6,1,0,0
2023 - 2024,SCH,Campbell County Public Schools,Rustburg High,Medium Poverty,All Schools,0,0,10.3,6,0,0
2023 - 2024,SCH,Campbell County Public Schools,Rustburg High,Medium Poverty,Non-Title I,0,0,10.3,6,0,0
2023 - 2024,SCH,Campbell County Public Schools,Rustburg Middle,Medium Poverty,All Schools,0,0,10,5,0,0
2023 - 2024,SCH,Campbell County Public Schools,Rustburg Middle,Medium Poverty,Non-Title I,0,0,10,5,0,0
2023 - 2024,SCH,Campbell County Public Schools,Tomahawk Elementary,Medium Poverty,All Schools,2.5,1,0,0,0,0
2023 - 2024,SCH,Campbell County Public Schools,Tomahawk Elementary,Medium Poverty,Title I,2.5,1,0,0,0,0
2023 - 2024,SCH,Campbell County Public Schools,William Campbell High,Medium Poverty,All Schools,0,0,11.4,4,0,0
2023 - 2024,SCH,Campbell County Public Schools,William Campbell High,Medium Poverty,Non-Title I,0,0,11.4,4,0,0
2023 - 2024,SCH,Campbell County Public Schools,Yellow Branch Elementary,Medium Poverty,All Schools,2.6,1,0,0,0,0
2023 - 2024,SCH,Campbell County Public Schools,Yellow Branch Elementary,Medium Poverty,Title I,2.6,1,0,0,0,0
2023 - 2024,SCH,Caroline County Public Schools,Bowling Green Elementary,Medium Poverty,All Schools,0,0,32.5,13,0,0
2023 - 2024,SCH,Caroline County Public Schools,Bowling Green Elementary,Medium Poverty,Title I,0,0,32.5,13,0,0
2023 - 2024,SCH,Caroline County Public Schools,Caroline High,Medium Poverty,All Schools,0,0,36.1,26,0,0
2023 - 2024,SCH,Caroline County Public Schools,Caroline High,Medium Poverty,Non-Title I,0,0,36.1,26,0,0
2023 - 2024,SCH,Caroline County Public Schools,Caroline Middle,Medium Poverty,All Schools,3.3,2,50,30,3.3,2
2023 - 2024,SCH,Caroline County Public Schools,Caroline Middle,Medium Poverty,Non-Title I,3.3,2,50,30,3.3,2
2023 - 2024,SCH,Caroline County Public Schools,Lewis and Clark Elementary,Medium Poverty,All Schools,0,0,21.6,11,0,0
2023 - 2024,SCH,Caroline County Public Schools,Lewis and Clark Elementary,Medium Poverty,Non-Title I,0,0,21.6,11,0,0
2023 - 2024,SCH,Caroline County Public Schools,Madison Elementary,Medium Poverty,All Schools,0,0,26.1,6,0,0
2023 - 2024,SCH,Caroline County Public Schools,Madison Elementary,Medium Poverty,Title I,0,0,26.1,6,0,0
2023 - 2024,SCH,Carroll County Public Schools,Carroll County High,Medium Poverty,All Schools,3.3,4,10,12,3.3,4
