Teacher Educational Attainment,,,,,
,,,,,
,,,,,
Year,Level,Division,School,Year Percent,Type
2023 - 2024,SCH,Arlington County Public Schools,Tuckahoe Elementary,34,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Tuckahoe Elementary,66,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Tuckahoe Elementary,0,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Wakefield High,18,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Wakefield High,76,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Wakefield High,4,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Washington-Liberty High,23,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Washington-Liberty High,73,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Washington-Liberty High,3,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Williamsburg Middle,22,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Williamsburg Middle,78,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Williamsburg Middle,0,Doctoral Degree
2023 - 2024,SCH,Arlington County Public Schools,Yorktown High,23,Bachelor's Degree
2023 - 2024,SCH,Arlington County Public Schools,Yorktown High,74,Master's Degree
2023 - 2024,SCH,Arlington County Public Schools,Yorktown High,1,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,Buffalo Gap High,51,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,Buffalo Gap High,43,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,Buffalo Gap High,4,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,Cassell Elementary,58,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,Cassell Elementary,38,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,Cassell Elementary,0,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,Churchville Elementary,50,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,Churchville Elementary,44,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,Churchville Elementary,0,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,Craigsville Elementary,55,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,Craigsville Elementary,40,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,Craigsville Elementary,0,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,Edward G. Clymore Elementary,48,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,Edward G. Clymore Elementary,50,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,Edward G. Clymore Elementary,0,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,Fort Defiance High,44,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,Fort Defiance High,56,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,Fort Defiance High,0,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,Guy K. Stump Elementary,54,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,Guy K. Stump Elementary,43,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,Guy K. Stump Elementary,0,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,North River Elementary,70,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,North River Elementary,26,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,North River Elementary,0,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,Riverheads Elementary,48,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,Riverheads Elementary,50,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,Riverheads Elementary,2,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,Riverheads High,59,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,Riverheads High,36,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,Riverheads High,2,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,S. Gordon Stewart Middle,45,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,S. Gordon Stewart Middle,55,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,S. Gordon Stewart Middle,0,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft Elementary,55,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft Elementary,40,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft Elementary,0,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft High,54,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft High,44,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft High,0,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft Middle,33,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft Middle,61,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft Middle,0,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,Wilson Elementary,53,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,Wilson Elementary,47,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,Wilson Elementary,0,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,Wilson Memorial High,46,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,Wilson Memorial High,53,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,Wilson Memorial High,0,Doctoral Degree
2023 - 2024,SCH,Augusta County Public Schools,Wilson Middle,49,Bachelor's Degree
2023 - 2024,SCH,Augusta County Public Schools,Wilson Middle,46,Master's Degree
2023 - 2024,SCH,Augusta County Public Schools,Wilson Middle,0,Doctoral Degree
2023 - 2024,SCH,Bath County Public Schools,Bath County High,34,Bachelor's Degree
2023 - 2024,SCH,Bath County Public Schools,Bath County High,55,Master's Degree
2023 - 2024,SCH,Bath County Public Schools,Bath County High,0,Doctoral Degree
2023 - 2024,SCH,Bath County Public Schools,Millboro Elementary,44,Bachelor's Degree
2023 - 2024,SCH,Bath County Public Schools,Millboro Elementary,56,Master's Degree
2023 - 2024,SCH,Bath County Public Schools,Millboro Elementary,0,Doctoral Degree
2023 - 2024,SCH,Bath County Public Schools,Valley Elementary,40,Bachelor's Degree
2023 - 2024,SCH,Bath County Public Schools,Valley Elementary,60,Master's Degree
2023 - 2024,SCH,Bath County Public Schools,Valley Elementary,0,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Bedford Elementary,58,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Bedford Elementary,39,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Bedford Elementary,0,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Bedford Primary,57,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Bedford Primary,43,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Bedford Primary,0,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Big Island Elementary,56,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Big Island Elementary,44,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Big Island Elementary,0,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Boonsboro Elementary,56,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Boonsboro Elementary,44,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Boonsboro Elementary,0,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Forest Elementary,55,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Forest Elementary,45,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Forest Elementary,0,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Forest Middle,52,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Forest Middle,42,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Forest Middle,1,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Goodview Elementary,53,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Goodview Elementary,44,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Goodview Elementary,0,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Huddleston Elementary,45,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Huddleston Elementary,50,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Huddleston Elementary,0,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Jefferson Forest High,45,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Jefferson Forest High,51,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Jefferson Forest High,2,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Liberty High,46,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Liberty High,51,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Liberty High,2,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Liberty Middle,52,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Liberty Middle,43,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Liberty Middle,0,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Moneta Elementary,43,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Moneta Elementary,52,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Moneta Elementary,0,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Montvale Elementary,60,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Montvale Elementary,40,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Montvale Elementary,0,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,New London Academy Elementary,33,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,New London Academy Elementary,67,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,New London Academy Elementary,0,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Otter River Elementary,47,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Otter River Elementary,53,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Otter River Elementary,0,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Staunton River High,45,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Staunton River High,48,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Staunton River High,0,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Staunton River Middle,45,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Staunton River Middle,49,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Staunton River Middle,0,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Stewartsville Elementary,66,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Stewartsville Elementary,31,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Stewartsville Elementary,0,Doctoral Degree
2023 - 2024,SCH,Bedford County Public Schools,Thomas Jefferson Elementary,56,Bachelor's Degree
2023 - 2024,SCH,Bedford County Public Schools,Thomas Jefferson Elementary,44,Master's Degree
2023 - 2024,SCH,Bedford County Public Schools,Thomas Jefferson Elementary,0,Doctoral Degree
2023 - 2024,SCH,Bland County Public Schools,Bland County Elementary ,63,Bachelor's Degree
2023 - 2024,SCH,Bland County Public Schools,Bland County Elementary ,34,Master's Degree
2023 - 2024,SCH,Bland County Public Schools,Bland County Elementary ,0,Doctoral Degree
2023 - 2024,SCH,Bland County Public Schools,Bland County High,59,Bachelor's Degree
2023 - 2024,SCH,Bland County Public Schools,Bland County High,38,Master's Degree
2023 - 2024,SCH,Bland County Public Schools,Bland County High,0,Doctoral Degree
2023 - 2024,SCH,Botetourt County Public Schools,Breckinridge Elementary,48,Bachelor's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Breckinridge Elementary,48,Master's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Breckinridge Elementary,0,Doctoral Degree
2023 - 2024,SCH,Botetourt County Public Schools,Buchanan Elementary,29,Bachelor's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Buchanan Elementary,68,Master's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Buchanan Elementary,0,Doctoral Degree
2023 - 2024,SCH,Botetourt County Public Schools,Central Academy Middle,60,Bachelor's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Central Academy Middle,33,Master's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Central Academy Middle,2,Doctoral Degree
2023 - 2024,SCH,Botetourt County Public Schools,Cloverdale Elementary,36,Bachelor's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Cloverdale Elementary,59,Master's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Cloverdale Elementary,0,Doctoral Degree
2023 - 2024,SCH,Botetourt County Public Schools,Colonial Elementary,62,Bachelor's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Colonial Elementary,32,Master's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Colonial Elementary,0,Doctoral Degree
2023 - 2024,SCH,Botetourt County Public Schools,Eagle Rock Elementary,44,Bachelor's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Eagle Rock Elementary,56,Master's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Eagle Rock Elementary,0,Doctoral Degree
2023 - 2024,SCH,Botetourt County Public Schools,Greenfield Elementary,44,Bachelor's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Greenfield Elementary,54,Master's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Greenfield Elementary,0,Doctoral Degree
2023 - 2024,SCH,Botetourt County Public Schools,James River High,40,Bachelor's Degree
2023 - 2024,SCH,Botetourt County Public Schools,James River High,57,Master's Degree
2023 - 2024,SCH,Botetourt County Public Schools,James River High,0,Doctoral Degree
2023 - 2024,SCH,Botetourt County Public Schools,Lord Botetourt High,50,Bachelor's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Lord Botetourt High,43,Master's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Lord Botetourt High,1,Doctoral Degree
2023 - 2024,SCH,Botetourt County Public Schools,Read Mountain Middle,50,Bachelor's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Read Mountain Middle,40,Master's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Read Mountain Middle,2,Doctoral Degree
2023 - 2024,SCH,Botetourt County Public Schools,Troutville Elementary,67,Bachelor's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Troutville Elementary,26,Master's Degree
2023 - 2024,SCH,Botetourt County Public Schools,Troutville Elementary,0,Doctoral Degree
2023 - 2024,SCH,Bristol City Public Schools,Virginia High,49,Bachelor's Degree
2023 - 2024,SCH,Bristol City Public Schools,Virginia High,43,Master's Degree
2023 - 2024,SCH,Bristol City Public Schools,Virginia High,3,Doctoral Degree
2023 - 2024,SCH,Bristol City Public Schools,Virginia Middle,48,Bachelor's Degree
2023 - 2024,SCH,Bristol City Public Schools,Virginia Middle,47,Master's Degree
2023 - 2024,SCH,Bristol City Public Schools,Virginia Middle,2,Doctoral Degree
2023 - 2024,SCH,Brunswick County Public Schools,Brunswick High,54,Bachelor's Degree
2023 - 2024,SCH,Brunswick County Public Schools,Brunswick High,29,Master's Degree
2023 - 2024,SCH,Brunswick County Public Schools,Brunswick High,5,Doctoral Degree
2023 - 2024,SCH,Brunswick County Public Schools,James S. Russell Middle,61,Bachelor's Degree
2023 - 2024,SCH,Brunswick County Public Schools,James S. Russell Middle,26,Master's Degree
2023 - 2024,SCH,Brunswick County Public Schools,James S. Russell Middle,3,Doctoral Degree
2023 - 2024,SCH,Brunswick County Public Schools,Meherrin Powellton Elementary,56,Bachelor's Degree
2023 - 2024,SCH,Brunswick County Public Schools,Meherrin Powellton Elementary,33,Master's Degree
2023 - 2024,SCH,Brunswick County Public Schools,Meherrin Powellton Elementary,0,Doctoral Degree
2023 - 2024,SCH,Brunswick County Public Schools,Red Oak-Sturgeon Elementary,54,Bachelor's Degree
2023 - 2024,SCH,Brunswick County Public Schools,Red Oak-Sturgeon Elementary,38,Master's Degree
2023 - 2024,SCH,Brunswick County Public Schools,Red Oak-Sturgeon Elementary,8,Doctoral Degree
2023 - 2024,SCH,Brunswick County Public Schools,Totaro Elementary,59,Bachelor's Degree
2023 - 2024,SCH,Brunswick County Public Schools,Totaro Elementary,27,Master's Degree
2023 - 2024,SCH,Brunswick County Public Schools,Totaro Elementary,0,Doctoral Degree
2023 - 2024,SCH,Buchanan County Public Schools,Council Elementary/Middle,71,Bachelor's Degree
2023 - 2024,SCH,Buchanan County Public Schools,Council Elementary/Middle,29,Master's Degree
